split,id,style,channel,position,probability
cal,temperature,plain,system prompt,1,0.46054053446937615
cal,temperature,plain,system prompt,2,0.25207778258157304
cal,temperature,plain,user message,1,0.20018297772652716
cal,temperature,plain,user message,2,0.1465070160105407
cal,temperature,plain,README.md,1,0.03210029533362587
cal,temperature,plain,README.md,2,0.035049981271332804
cal,temperature,plan,system prompt,1,0.5307466121672653
cal,temperature,plan,system prompt,2,0.16174767513155697
cal,temperature,plan,user message,1,0.03501381189295854
cal,temperature,plan,user message,2,0.0319074766292757
cal,temperature,plan,README.md,1,0.013798905787077993
cal,temperature,plan,README.md,2,0.020505450164690547
cal,sorting,plain,system prompt,1,0.696599170644306
cal,sorting,plain,system prompt,2,0.5039820336231512
cal,sorting,plain,user message,1,0.3107298597599355
cal,sorting,plain,user message,2,0.27546470927547984
cal,sorting,plain,README.md,1,0.0165326468682618
cal,sorting,plain,README.md,2,0.08582412526606249
cal,sorting,plan,system prompt,1,0.8873901261596562
cal,sorting,plan,system prompt,2,0.3942911358434889
cal,sorting,plan,user message,1,0.1563757450241627
cal,sorting,plan,user message,2,0.16688775164979386
cal,sorting,plan,README.md,1,0.04424785859318453
cal,sorting,plan,README.md,2,0.05813597296400007
cal,invoice,plain,system prompt,1,0.5270761354159037
cal,invoice,plain,system prompt,2,0.18362797167123354
cal,invoice,plain,user message,1,0.10137128270070511
cal,invoice,plain,user message,2,0.06096239065416934
cal,invoice,plain,README.md,1,4.129437840465648e-05
cal,invoice,plain,README.md,2,0.0007290975142504008
cal,invoice,plan,system prompt,1,0.5253926141600914
cal,invoice,plan,system prompt,2,0.23935825541551536
cal,invoice,plan,user message,1,0.09218331318605796
cal,invoice,plan,user message,2,0.06532144648855688
cal,invoice,plan,README.md,1,0.002120308495198063
cal,invoice,plan,README.md,2,0.005315310700544614
cal,rewrite,plain,system prompt,1,0.263483756467232
cal,rewrite,plain,system prompt,2,0.2989929355925018
cal,rewrite,plain,user message,1,0.322053630340431
cal,rewrite,plain,user message,2,0.15772419957860925
cal,rewrite,plain,README.md,1,0.004066586797675386
cal,rewrite,plain,README.md,2,0.004362077641660549
cal,rewrite,plan,system prompt,1,0.7400019881990226
cal,rewrite,plan,system prompt,2,0.39282426977221435
cal,rewrite,plan,user message,1,0.2894818464439509
